date,municipality,total_cases,active_cases,new_cases
5/1/2020,Ardsley,67,,
5/1/2020,Bedford,196,,
5/1/2020,Briarcliff Manor,75,,
5/1/2020,Bronxville,51,,
5/1/2020,Buchanan,30,,
5/1/2020,Cortlandt,620,,
5/1/2020,Croton-on-Hudson,132,,
5/1/2020,Dobbs Ferry,212,,
5/1/2020,Eastchester,336,,
5/1/2020,Elmsford,148,,
5/1/2020,Greenburgh,863,,
5/1/2020,Harrison,288,,
5/1/2020,Hastings-on-Hudson,85,,
5/1/2020,Irvington,67,,
5/1/2020,Larchmont,50,,
5/1/2020,Lewisboro,76,,
5/1/2020,Mamaroneck Town,120,,
5/1/2020,Mamaroneck Village,274,,
5/1/2020,Mount Kisco,216,,
5/1/2020,Mount Pleasant,455,,
5/1/2020,Mount Vernon,2141,,
5/1/2020,New Castle,132,,
5/1/2020,New Rochelle,2238,,
5/1/2020,North Castle,143,,
5/1/2020,North Salem,99,,
5/1/2020,Ossining Town,123,,
5/1/2020,Ossining Village,829,,
5/1/2020,Peekskill,631,,
5/1/2020,Pelham,124,,
5/1/2020,Pelham Manor,83,,
5/1/2020,Pleasantville,89,,
5/1/2020,Port Chester,921,,
5/1/2020,Pound Ridge,23,,
5/1/2020,Rye Brook,151,,
5/1/2020,Rye City,149,,
5/1/2020,Scarsdale,318,,
5/1/2020,Sleepy Hollow,298,,
5/1/2020,Somers,171,,
5/1/2020,Tarrytown,223,,
5/1/2020,Tuckahoe,109,,
5/1/2020,White Plains,1355,,
5/1/2020,Yonkers,5252,,
5/1/2020,Yorktown,454,,
5/1/2020,Totals,20417,,
5/5/2020,Ardsley,95,15,3
5/5/2020,Bedford,262,73,4
5/5/2020,Briarcliff Manor,98,21,5
5/5/2020,Bronxville,70,12,2
5/5/2020,Buchanan,37,9,0
5/5/2020,Cortlandt,726,201,12
5/5/2020,Croton-on-Hudson,161,36,3
5/5/2020,Dobbs Ferry,266,54,2
5/5/2020,Eastchester,444,67,8
5/5/2020,Elmsford,188,37,2
5/5/2020,Greenburgh,1089,183,19
5/5/2020,Harrison,384,64,12
5/5/2020,Hastings-on-Hudson,121,12,1
5/5/2020,Irvington,84,17,0
5/5/2020,Larchmont,67,8,1
5/5/2020,Lewisboro,101,25,1
5/5/2020,Mamaroneck Town,175,32,6
5/5/2020,Mamaroneck Village,359,77,9
5/5/2020,Mount Kisco,264,71,4
5/5/2020,Mount Pleasant,577,96,7
5/5/2020,Mount Vernon,2467,377,24
5/5/2020,New Castle,216,73,8
5/5/2020,New Rochelle,2714,450,18
5/5/2020,North Castle,202,59,8
5/5/2020,North Salem,123,43,3
5/5/2020,Ossining Town,147,33,5
5/5/2020,Ossining Village,954,158,21
5/5/2020,Peekskill,764,188,13
5/5/2020,Pelham,170,19,4
5/5/2020,Pelham Manor,117,17,1
5/5/2020,Pleasantville,120,25,1
5/5/2020,Port Chester,1047,212,13
5/5/2020,Pound Ridge,37,12,0
5/5/2020,Rye Brook,176,25,3
5/5/2020,Rye City,197,29,5
5/5/2020,Scarsdale,384,42,2
5/5/2020,Sleepy Hollow,339,63,2
5/5/2020,Somers,234,76,3
5/5/2020,Tarrytown,258,49,3
5/5/2020,Tuckahoe,129,19,1
5/5/2020,White Plains,1634,312,24
5/5/2020,Yonkers,6398,1145,88
5/5/2020,Yorktown,601,121,17
5/5/2020,Totals,24996,4657,368
5/5/2020,Unknown,6693,NA,NA
5/6/2020,Ardsley,81,3,0
5/6/2020,Bedford,214,28,2
5/6/2020,Briarcliff Manor,86,12,1
5/6/2020,Bronxville,63,5,0
5/6/2020,Buchanan,32,3,0
5/6/2020,Cortlandt,709,172,7
5/6/2020,Croton-on-Hudson,150,21,0
5/6/2020,Dobbs Ferry,259,36,2
5/6/2020,Eastchester,420,39,1
5/6/2020,Elmsford,184,29,0
5/6/2020,Greenburgh,1040,128,4
5/6/2020,Harrison,362,42,2
5/6/2020,Hastings-on-Hudson,114,5,0
5/6/2020,Irvington,74,10,0
5/6/2020,Larchmont,62,3,0
5/6/2020,Lewisboro,94,18,7
5/6/2020,Mamaroneck Town,155,13,0
5/6/2020,Mamaroneck Village,349,59,2
5/6/2020,Mount Kisco,229,39,3
5/6/2020,Mount Pleasant,539,51,1
5/6/2020,Mount Vernon,2454,324,23
5/6/2020,New Castle,165,21,0
5/6/2020,New Rochelle,2662,358,19
5/6/2020,North Castle,178,28,1
5/6/2020,North Salem,114,34,1
5/6/2020,Ossining Town,139,17,0
5/6/2020,Ossining Village,952,146,15
5/6/2020,Peekskill,756,170,17
5/6/2020,Pelham,162,13,2
5/6/2020,Pelham Manor,98,3,0
5/6/2020,Pleasantville,104,8,0
5/6/2020,Port Chester,1053,198,21
5/6/2020,Pound Ridge,24,1,0
5/6/2020,Rye Brook,170,17,0
5/6/2020,Rye City,176,11,0
5/6/2020,Scarsdale,356,15,1
5/6/2020,Sleepy Hollow,334,50,0
5/6/2020,Somers,207,44,5
5/6/2020,Tarrytown,253,44,3
5/6/2020,Tuckahoe,122,11,0
5/6/2020,White Plains,1573,231,12
5/6/2020,Yonkers,6220,882,36
5/6/2020,Yorktown,544,57,2
5/6/2020,Totals,24032,3399,190
5/6/2020,Unknown,6704,NA,NA
5/7/2020,Ardsley,83,3,2
5/7/2020,Bedford,218,24,5
5/7/2020,Briarcliff Manor,85,11,2
5/7/2020,Bronxville,62,4,0
5/7/2020,Buchanan,33,4,1
5/7/2020,Cortlandt,698,154,13
5/7/2020,Croton-on-Hudson,150,16,4
5/7/2020,Dobbs Ferry,257,29,5
5/7/2020,Eastchester,421,37,11
5/7/2020,Elmsford,186,25,6
5/7/2020,Greenburgh,1047,111,26
5/7/2020,Harrison,359,36,5
5/7/2020,Hastings-on-Hudson,114,5,3
5/7/2020,Irvington,76,8,2
5/7/2020,Larchmont,62,3,2
5/7/2020,Lewisboro,93,18,0
5/7/2020,Mamaroneck Town,160,13,6
5/7/2020,Mamaroneck Village,354,50,13
5/7/2020,Mount Kisco,236,40,7
5/7/2020,Mount Pleasant,527,44,6
5/7/2020,Mount Vernon,2478,270,62
5/7/2020,New Castle,165,15,3
5/7/2020,New Rochelle,2686,290,86
5/7/2020,North Castle,183,27,5
5/7/2020,North Salem,106,30,7
5/7/2020,Ossining Town,140,13,5
5/7/2020,Ossining Village,949,129,17
5/7/2020,Peekskill,768,166,32
5/7/2020,Pelham,158,8,4
5/7/2020,Pelham Manor,101,1,9
5/7/2020,Pleasantville,108,8,6
5/7/2020,Port Chester,1060,185,33
5/7/2020,Pound Ridge,25,1,1
5/7/2020,Rye Brook,163,12,2
5/7/2020,Rye City,178,10,4
5/7/2020,Scarsdale,345,9,7
5/7/2020,Sleepy Hollow,338,44,10
5/7/2020,Somers,209,41,6
5/7/2020,Tarrytown,261,38,12
5/7/2020,Tuckahoe,125,8,5
5/7/2020,White Plains,1609,219,60
5/7/2020,Yonkers,6370,797,253
5/7/2020,Yorktown,547,41,12
5/7/2020,Totals,24293,2997,760
5/7/2020,Unknown,1901,NA,NA
5/11/2020,Ardsley,88,5,0
