date,municipality,total_cases,active_cases,new_cases
NA,Pelham Manor,NA,NA,83
NA,Pleasantville,NA,NA,88
NA,Port Chester,NA,NA,899
NA,Pound Ridge,NA,NA,18
NA,Rye Brook,NA,NA,147
NA,Rye City,NA,NA,148
NA,Scarsdale,NA,NA,316
NA,Sleepy Hollow,NA,NA,293
NA,Somers,NA,NA,167
NA,Tarrytown,NA,NA,220
NA,Tuckahoe,NA,NA,108
NA,White Plains,NA,NA,1324
NA,Yonkers,NA,NA,5159
NA,Yorktown,NA,NA,451
NA,Confirmed,NA,NA,20050
NA,Unknown,9336,NA,NA
NA,Released,NA,NA,25
NA,Briarcliff Manor,NA,NA,75
NA,Bronxville,NA,NA,51
NA,Buchanan,NA,NA,30
NA,Cortlandt,NA,NA,620
NA,Croton-on-Hudson,NA,NA,132
NA,Dobbs Ferry,NA,NA,212
NA,Eastchester,NA,NA,336
NA,Elmsford,NA,NA,148
NA,Greenburgh,NA,NA,863
NA,Harrison,NA,NA,288
NA,Hastings-on-Hudson,NA,NA,85
NA,Irvington,NA,NA,67
NA,Larchmont,NA,NA,50
NA,Lewisboro,NA,NA,76
NA,Mamaroneck Town =,NA,NA,120
NA,Mamaroneck Village,NA,NA,274
NA,Mount Kisco,NA,NA,216
NA,Mount Pleasant,NA,NA,455
NA,Mount Vernon,NA,NA,2141
NA,New Castle,NA,NA,132
NA,New Rochelle,NA,NA,2238
NA,North Castle,NA,NA,143
NA,North Salem,NA,NA,99
NA,Ossining Town,NA,NA,123
NA,Ossining Village,NA,NA,829
NA,Peekskill,NA,NA,631
NA,Pelham,NA,NA,124
NA,Pelham Manor,NA,NA,83
NA,Pleasantville,NA,NA,89
NA,Port Chester,NA,NA,921
NA,Pound Ridge,NA,NA,23
NA,Rye Brook,NA,NA,151
NA,Rye City,NA,NA,149
NA,Scarsdale,NA,NA,318
NA,Sleepy Hollow,NA,NA,298
NA,Somers,NA,NA,171
NA,Tarrytown,NA,NA,223
NA,Tuckahoe,NA,NA,109
NA,White Plains,NA,NA,1355
NA,Yonkers,NA,NA,5252
NA,Yorktown,NA,NA,454
NA,Confirmed,NA,NA,20417
NA,Unknown,9370,NA,NA
NA,Released,NA,NA,25
2020-05-05,Bedford,262,73,4
2020-05-05,Briarcliff Manor,98,21,5
2020-05-05,Bronxville,70,12,2
2020-05-05,Buchanan,37,9,0
2020-05-05,Cortlandt,726,201,12
2020-05-05,CrotononHudson =,161,36,3
2020-05-05,Dobbs Ferry,266,54,2
2020-05-05,Eastchester,444,67,8
2020-05-05,Elmsford,188,37,2
2020-05-05,Greenburgh,1089,183,19
2020-05-05,Harrison,384,64,12
2020-05-05,Hastings-on-Hudson,121,12,1
2020-05-05,Irvington,84,17,0
2020-05-05,Larchmont,67,8,1
2020-05-05,Lewisboro,101,25,1
2020-05-05,Mamaroneck Town =,175,32,6
2020-05-05,Mamaroneck Village,359,77,9
2020-05-05,Mount Kisco,264,71,4
2020-05-05,Mount Pleasant,577,96,7
2020-05-05,Mount Vernon,2467,377,24
2020-05-05,New Castle,216,73,8
2020-05-05,New Rochelle,2714,450,18
2020-05-05,North Castle,202,59,8
2020-05-05,North Salem,123,43,3
2020-05-05,Ossining Town,147,33,5
2020-05-05,Ossining Village,954,158,21
2020-05-05,Peekskill,764,188,13
2020-05-05,Pelham,170,19,4
2020-05-05,Pelham Manor,117,17,1
2020-05-05,Pleasantville,120,25,1
2020-05-05,Port Chester,1047,212,13
2020-05-05,Pound Ridge,37,12,0
2020-05-05,Rye Brook,176,25,3
2020-05-05,Rye City,197,29,5
2020-05-05,Scarsdale,384,42,2
2020-05-05,Sleepy Hollow,339,63,2
2020-05-05,Somers,234,76,3
2020-05-05,Tarrytown,258,49,3
2020-05-05,Tuckahoe,129,19,1
2020-05-05,White Plains,1634,312,24
2020-05-05,Yonkers,6398,1145,88
2020-05-05,Yorktown,601,121,17
2020-05-05,Totals,24996,4657,368
2020-05-05,Unknown,6693,NA,NA
2020-05-06,Bedford,214,28,2
2020-05-06,Briarcliff Manor,86,12,1
2020-05-06,Bronxville,63,5,0
2020-05-06,Buchanan,32,3,0
2020-05-06,Cortlandt,709,172,7
2020-05-06,Croton-on-Hudson,150,21,0
2020-05-06,Dobbs Ferry,259,36,2
2020-05-06,Eastchester,420,39,1
2020-05-06,Elmsford,184,29,0
2020-05-06,Greenburgh,1040,128,4
2020-05-06,Harrison,362,42,2
2020-05-06,Hastings-on-Hudson,114,5,0
2020-05-06,Irvington,74,10,0
2020-05-06,Larchmont,62,3,0
2020-05-06,Lewisboro,94,18,7
2020-05-06,MamaroneckTown,155,13,0
2020-05-06,Mamaroneck Village,349,59,2
2020-05-06,Mount Kisco,229,39,3
2020-05-06,Mount Pleasant,539,51,1
2020-05-06,Mount Vernon,2454,324,23
2020-05-06,New Castle,165,21,0
2020-05-06,New Rochelle,2662,358,19
2020-05-06,North Castle,178,28,1
2020-05-06,North Salem,114,34,1
2020-05-06,Ossining Town,139,17,0
2020-05-06,Ossining Village,952,146,15
2020-05-06,Peekskill,756,170,17
2020-05-06,Pelham,162,13,2
2020-05-06,Pelham Manor,98,3,0
2020-05-06,Pleasantville,104,8,0
2020-05-06,Port Chester,1053,198,21
2020-05-06,Pound Ridge,24,1,0
2020-05-06,Rye Brook,170,17,0
2020-05-06,Rye City,176,11,0
2020-05-06,Scarsdale,356,15,1
2020-05-06,Sleepy Hollow,334,50,0
2020-05-06,Somers,207,44,5
2020-05-06,Tarrytown,253,44,3
2020-05-06,Tuckahoe,122,11,0
2020-05-06,White Plains,1573,231,12
2020-05-06,Yonkers,6220,882,36
2020-05-06,Yorktown,544,57,2
2020-05-06,Totals,24032,3399,190
2020-05-06,Unknown,6704,NA,NA
2020-05-07,Bedford,218,24,5
2020-05-07,Briarcliff Manor,85,11,2
2020-05-07,Bronxville,62,4,0
2020-05-07,Buchanan,33,4,1
2020-05-07,Cortlandt,698,154,13
2020-05-07,Croton-on-Hudson,150,16,4
2020-05-07,Dobbs Ferry,257,29,5
2020-05-07,Eastchester,421,37,11
2020-05-07,Elmsford,186,25,6
2020-05-07,Greenburgh,1047,111,26
2020-05-07,Harrison,359,36,5
