date,metric,value
2020-04-27,total_deaths,1077
2020-04-27,new_cases,343
2020-04-27,new_deaths,23
2020-04-28,total_cases,28245
2020-04-28,total_deaths,1096
2020-04-28,new_cases,238
2020-04-28,new_deaths,19
2020-04-29,total_cases,28625
2020-04-29,total_deaths,1119
2020-04-29,new_cases,380
2020-04-29,new_deaths,23
2020-04-30,total_cases,28969
2020-04-30,total_deaths,1144
2020-04-30,new_cases,344
2020-04-30,new_deaths,25
2020-05-01,total_cases,29231
2020-05-01,total_deaths,1165
2020-05-01,new_cases,262
2020-05-01,new_deaths,21
2020-05-02,total_cases,29626
2020-05-02,total_deaths,1183
2020-05-02,new_cases,395
2020-05-02,new_deaths,18
2020-05-03,total_cases,29884
2020-05-03,total_deaths,1203
2020-05-03,new_cases,258
2020-05-03,new_deaths,20
2020-05-04,total_cases,30097
2020-05-04,total_deaths,1220
2020-05-04,new_cases,213
2020-05-04,new_deaths,17
2020-05-05,total_cases,30239
2020-05-05,total_deaths,1236
2020-05-05,new_cases,142
2020-05-05,new_deaths,16
2020-05-06,total_cases,30426
2020-05-06,total_deaths,1285
2020-05-06,new_cases,187
2020-05-06,new_deaths,49
2020-05-07,total_cases,30709
2020-05-07,total_deaths,1305
2020-05-07,new_cases,283
2020-05-07,new_deaths,20
2020-05-08,total_cases,30904
2020-05-08,total_deaths,1316
2020-05-08,new_cases,195
2020-05-08,new_deaths,11
2020-05-09,total_cases,31086
2020-05-09,total_deaths,1328
2020-05-09,new_cases,182
2020-05-09,new_deaths,12
2020-05-10,total_cases,31293
2020-05-10,total_deaths,1341
2020-05-10,new_cases,207
2020-05-10,new_deaths,13
2020-05-11,total_cases,31383
2020-05-11,total_deaths,1349
2020-05-11,new_cases,90
2020-05-11,new_deaths,8
2020-05-12,total_cases,31471
2020-05-12,total_deaths,1360
2020-05-12,new_cases,88
2020-05-12,new_deaths,11
2020-05-13,total_cases,31610
2020-05-13,total_deaths,1368
2020-05-13,new_cases,139
2020-05-13,new_deaths,8
2020-05-14,total_cases,31791
2020-05-14,total_deaths,1380
2020-05-14,new_cases,181
2020-05-14,new_deaths,12
2020-05-15,total_cases,31942
2020-05-15,total_deaths,1392
2020-05-15,new_cases,151
2020-05-15,new_deaths,12
2020-05-16,total_cases,32096
2020-05-16,total_deaths,1398
2020-05-16,new_cases,154
2020-05-16,new_deaths,6
2020-05-17,total_cases,32223
2020-05-17,total_deaths,1412
2020-05-17,new_cases,127
2020-05-17,new_deaths,14
2020-05-18,total_cases,32322
2020-05-18,total_deaths,1419
2020-05-18,new_cases,99
2020-05-18,new_deaths,7
2020-05-19,total_cases,32401
2020-05-19,total_deaths,1424
2020-05-19,new_cases,79
2020-05-19,new_deaths,5
2020-05-20,total_cases,32516
2020-05-20,total_deaths,1430
2020-05-20,new_cases,115
2020-05-20,new_deaths,6
2020-05-21,total_cases,32672
2020-05-21,total_deaths,1438
2020-05-21,new_cases,156
2020-05-21,new_deaths,8
2020-05-22,total_cases,32766
2020-05-22,total_deaths,1444
2020-05-22,new_cases,94
2020-05-22,new_deaths,6
2020-05-23,total_cases,32880
2020-05-23,total_deaths,1451
2020-05-23,new_cases,114
2020-05-23,new_deaths,7
2020-05-24,total_cases,32967
2020-05-24,total_deaths,1462
2020-05-24,new_cases,87
2020-05-24,new_deaths,11
2020-05-25,total_cases,33048
2020-05-25,total_deaths,1467
2020-05-25,new_cases,81
2020-05-25,new_deaths,5
2020-05-26,total_cases,33106
2020-05-26,total_deaths,1469
2020-05-26,new_cases,58
2020-05-26,new_deaths,2
2020-05-27,total_cases,33185
2020-05-27,total_deaths,1476
2020-05-27,new_cases,79
2020-05-27,new_deaths,7
2020-05-28,total_cases,33292
2020-05-28,total_deaths,1481
2020-05-28,new_cases,107
2020-05-28,new_deaths,5
2020-05-29,total_cases,33348
2020-05-29,total_deaths,1484
2020-05-29,new_cases,56
2020-05-29,new_deaths,3
2020-05-30,total_cases,33428
2020-05-30,total_deaths,1492
2020-05-30,new_cases,80
2020-05-30,new_deaths,8
2020-05-31,total_cases,33480
2020-05-31,total_deaths,1499
2020-05-31,new_cases,52
2020-05-31,new_deaths,7
2020-06-01,total_cases,33551
2020-06-01,total_deaths,1501
2020-06-01,new_cases,71
2020-06-01,new_deaths,2
2020-06-02,total_cases,33632
2020-06-02,total_deaths,1506
2020-06-02,new_cases,81
2020-06-02,new_deaths,5
2020-06-03,total_cases,33690
2020-06-03,total_deaths,1510
2020-06-03,new_cases,58
2020-06-03,new_deaths,4
2020-06-04,total_cases,33766
2020-06-04,total_deaths,1514
2020-06-04,new_cases,76
2020-06-04,new_deaths,4
2020-06-05,total_cases,33853
2020-06-05,total_deaths,1519
2020-06-05,new_cases,87
2020-06-05,new_deaths,5
2020-06-06,total_cases,33923
2020-06-06,total_deaths,1523
2020-06-06,new_cases,70
2020-06-06,new_deaths,4
2020-06-07,total_cases,33953
2020-06-07,total_deaths,1523
2020-06-07,new_cases,30
2020-06-07,new_deaths,0
2020-06-08,total_cases,33999
2020-06-08,total_deaths,1526
2020-06-08,new_cases,46
2020-06-08,new_deaths,3
2020-06-09,total_cases,34034
2020-06-09,total_deaths,1527
2020-06-09,new_cases,35
2020-06-09,new_deaths,1
2020-06-10,total_cases,34075
2020-06-10,total_deaths,1530
2020-06-10,new_cases,41
2020-06-10,new_deaths,3
