date,municipality,total_cases,active_cases,new_cases
2020-04-30,Hastings-on-Hudson,84,NA,NA
2020-04-30,Irvington,66,NA,NA
2020-04-30,Larchmont,50,NA,NA
2020-04-30,Lewisboro,73,NA,NA
2020-04-30,Mamaroneck Town,118,NA,NA
2020-04-30,Mamaroneck Village,269,NA,NA
2020-04-30,Mount Kisco,203,NA,NA
2020-04-30,Mount Pleasant,450,NA,NA
2020-04-30,Mount Vernon,2111,NA,NA
2020-04-30,New Castle,139,NA,NA
2020-04-30,New Rochelle,2124,NA,NA
2020-04-30,North Castle,139,NA,NA
2020-04-30,North Salem,94,NA,NA
2020-04-30,Ossining Town,123,NA,NA
2020-04-30,Ossining Village,821,NA,NA
2020-04-30,Peekskill,612,NA,NA
2020-04-30,Pelham,122,NA,NA
2020-04-30,Pelham Manor,83,NA,NA
2020-04-30,Pleasantville,88,NA,NA
2020-04-30,Port Chester,899,NA,NA
2020-04-30,Pound Ridge,18,NA,NA
2020-04-30,Rye Brook,147,NA,NA
2020-04-30,Rye City,148,NA,NA
2020-04-30,Scarsdale,316,NA,NA
2020-04-30,Sleepy Hollow,293,NA,NA
2020-04-30,Somers,167,NA,NA
2020-04-30,Tarrytown,220,NA,NA
2020-04-30,Tuckahoe,108,NA,NA
2020-04-30,White Plains,1324,NA,NA
2020-04-30,Yonkers,5159,NA,NA
2020-04-30,Yorktown,451,NA,NA
2020-04-30,Totals,20050,NA,NA
2020-05-01,Ardsley,67,NA,NA
2020-05-01,Bedford,196,NA,NA
2020-05-01,Briarcliff Manor,75,NA,NA
2020-05-01,Bronxville,51,NA,NA
2020-05-01,Buchanan,30,NA,NA
2020-05-01,Cortlandt,620,NA,NA
2020-05-01,Croton-on-Hudson,132,NA,NA
2020-05-01,Dobbs Ferry,212,NA,NA
2020-05-01,Eastchester,336,NA,NA
2020-05-01,Elmsford,148,NA,NA
2020-05-01,Greenburgh,863,NA,NA
2020-05-01,Harrison,288,NA,NA
2020-05-01,Hastings-on-Hudson,85,NA,NA
2020-05-01,Irvington,67,NA,NA
2020-05-01,Larchmont,50,NA,NA
2020-05-01,Lewisboro,76,NA,NA
2020-05-01,Mamaroneck Town,120,NA,NA
2020-05-01,Mamaroneck Village,274,NA,NA
2020-05-01,Mount Kisco,216,NA,NA
2020-05-01,Mount Pleasant,455,NA,NA
2020-05-01,Mount Vernon,2141,NA,NA
2020-05-01,New Castle,132,NA,NA
2020-05-01,New Rochelle,2238,NA,NA
2020-05-01,North Castle,143,NA,NA
2020-05-01,North Salem,99,NA,NA
2020-05-01,Ossining Town,123,NA,NA
2020-05-01,Ossining Village,829,NA,NA
2020-05-01,Peekskill,631,NA,NA
2020-05-01,Pelham,124,NA,NA
2020-05-01,Pelham Manor,83,NA,NA
2020-05-01,Pleasantville,89,NA,NA
2020-05-01,Port Chester,921,NA,NA
2020-05-01,Pound Ridge,23,NA,NA
2020-05-01,Rye Brook,151,NA,NA
2020-05-01,Rye City,149,NA,NA
2020-05-01,Scarsdale,318,NA,NA
2020-05-01,Sleepy Hollow,298,NA,NA
2020-05-01,Somers,171,NA,NA
2020-05-01,Tarrytown,223,NA,NA
2020-05-01,Tuckahoe,109,NA,NA
2020-05-01,White Plains,1355,NA,NA
2020-05-01,Yonkers,5252,NA,NA
2020-05-01,Yorktown,454,NA,NA
